Image,Age,Historical Notes
artifact_dataset/augmented_images\457627_aug1.jpg,945.0,dated 333 AH/945 CE
artifact_dataset/augmented_images\457627_aug2.jpg,945.0,dated 333 AH/945 CE
artifact_dataset/augmented_images\457627_aug3.jpg,945.0,dated 333 AH/945 CE
artifact_dataset/augmented_images\457627_aug4.jpg,945.0,dated 333 AH/945 CE
artifact_dataset/augmented_images\457627_aug5.jpg,945.0,dated 333 AH/945 CE
artifact_dataset/augmented_images\457133_aug1.jpg,983.0,dated 374 AH/983–84 CE
artifact_dataset/augmented_images\457133_aug2.jpg,983.0,dated 374 AH/983–84 CE
artifact_dataset/augmented_images\457133_aug3.jpg,983.0,dated 374 AH/983–84 CE
artifact_dataset/augmented_images\457133_aug4.jpg,983.0,dated 374 AH/983–84 CE
artifact_dataset/augmented_images\457133_aug5.jpg,983.0,dated 374 AH/983–84 CE
artifact_dataset/augmented_images\457626_aug1.jpg,785.0,dated 164 AH/780 CE
artifact_dataset/augmented_images\457626_aug2.jpg,785.0,dated 164 AH/780 CE
artifact_dataset/augmented_images\457626_aug3.jpg,785.0,dated 164 AH/780 CE
artifact_dataset/augmented_images\457626_aug4.jpg,785.0,dated 164 AH/780 CE
artifact_dataset/augmented_images\457626_aug5.jpg,785.0,dated 164 AH/780 CE
artifact_dataset/augmented_images\457275_aug1.jpg,1099.0,dated 493 AH/1099 CE
artifact_dataset/augmented_images\457275_aug2.jpg,1099.0,dated 493 AH/1099 CE
artifact_dataset/augmented_images\457275_aug3.jpg,1099.0,dated 493 AH/1099 CE
artifact_dataset/augmented_images\457275_aug4.jpg,1099.0,dated 493 AH/1099 CE
artifact_dataset/augmented_images\457275_aug5.jpg,1099.0,dated 493 AH/1099 CE
artifact_dataset/augmented_images\457209_aug1.jpg,783.0,dated 166 AH/783 CE
artifact_dataset/augmented_images\457209_aug2.jpg,783.0,dated 166 AH/783 CE
artifact_dataset/augmented_images\457209_aug3.jpg,783.0,dated 166 AH/783 CE
artifact_dataset/augmented_images\457209_aug4.jpg,783.0,dated 166 AH/783 CE
artifact_dataset/augmented_images\457209_aug5.jpg,783.0,dated 166 AH/783 CE
artifact_dataset/augmented_images\464030_aug1.jpg,583.0,"ca. 583, reassembled after discovery, Byzantine"
artifact_dataset/augmented_images\464030_aug2.jpg,583.0,"ca. 583, reassembled after discovery, Byzantine"
artifact_dataset/augmented_images\464030_aug3.jpg,583.0,"ca. 583, reassembled after discovery, Byzantine"
artifact_dataset/augmented_images\464030_aug4.jpg,583.0,"ca. 583, reassembled after discovery, Byzantine"
artifact_dataset/augmented_images\464030_aug5.jpg,583.0,"ca. 583, reassembled after discovery, Byzantine"
artifact_dataset/augmented_images\464070_aug1.jpg,544.5,"ca. 539–50, Byzantine"
artifact_dataset/augmented_images\464070_aug2.jpg,544.5,"ca. 539–50, Byzantine"
artifact_dataset/augmented_images\464070_aug3.jpg,544.5,"ca. 539–50, Byzantine"
artifact_dataset/augmented_images\464070_aug4.jpg,544.5,"ca. 539–50, Byzantine"
artifact_dataset/augmented_images\464070_aug5.jpg,544.5,"ca. 539–50, Byzantine"
artifact_dataset/augmented_images\468737_aug1.jpg,1240.0,"1230–50, Italian"
artifact_dataset/augmented_images\468737_aug2.jpg,1240.0,"1230–50, Italian"
artifact_dataset/augmented_images\468737_aug3.jpg,1240.0,"1230–50, Italian"
artifact_dataset/augmented_images\468737_aug4.jpg,1240.0,"1230–50, Italian"
artifact_dataset/augmented_images\468737_aug5.jpg,1240.0,"1230–50, Italian"
artifact_dataset/augmented_images\457583_aug1.jpg,1052.0,dated 444 AH/1052–53 CE
artifact_dataset/augmented_images\457583_aug2.jpg,1052.0,dated 444 AH/1052–53 CE
artifact_dataset/augmented_images\457583_aug3.jpg,1052.0,dated 444 AH/1052–53 CE
artifact_dataset/augmented_images\457583_aug4.jpg,1052.0,dated 444 AH/1052–53 CE
artifact_dataset/augmented_images\457583_aug5.jpg,1052.0,dated 444 AH/1052–53 CE
artifact_dataset/augmented_images\457468_aug1.jpg,790.0,790
artifact_dataset/augmented_images\457468_aug2.jpg,790.0,790
artifact_dataset/augmented_images\457468_aug3.jpg,790.0,790
artifact_dataset/augmented_images\457468_aug4.jpg,790.0,790
artifact_dataset/augmented_images\457468_aug5.jpg,790.0,790
artifact_dataset/augmented_images\457388_aug1.jpg,997.0,uncertain
artifact_dataset/augmented_images\457388_aug2.jpg,997.0,uncertain
artifact_dataset/augmented_images\457388_aug3.jpg,997.0,uncertain
artifact_dataset/augmented_images\457388_aug4.jpg,997.0,uncertain
artifact_dataset/augmented_images\457388_aug5.jpg,997.0,uncertain
artifact_dataset/augmented_images\457414_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457414_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457414_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457414_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457414_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457491_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457491_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457491_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457491_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457491_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457678_aug1.jpg,949.5,9th–11th century
artifact_dataset/augmented_images\457678_aug2.jpg,949.5,9th–11th century
artifact_dataset/augmented_images\457678_aug3.jpg,949.5,9th–11th century
artifact_dataset/augmented_images\457678_aug4.jpg,949.5,9th–11th century
artifact_dataset/augmented_images\457678_aug5.jpg,949.5,9th–11th century
artifact_dataset/augmented_images\457686_aug1.jpg,1130.0,ca. 1130
artifact_dataset/augmented_images\457686_aug2.jpg,1130.0,ca. 1130
artifact_dataset/augmented_images\457686_aug3.jpg,1130.0,ca. 1130
artifact_dataset/augmented_images\457686_aug4.jpg,1130.0,ca. 1130
artifact_dataset/augmented_images\457686_aug5.jpg,1130.0,ca. 1130
artifact_dataset/augmented_images\457672_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457672_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457672_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457672_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457672_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457680_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457680_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457680_aug3.jpg,899.5,5th–14th century
