ArtifactType,Name,Age,Image,Object ID,Description,Period,Dynasty,Object Date,Culture
coin,Coin,920-970 AD,artifact_dataset/images/coin/457627.jpg,457627,unknown,unknown,unknown,dated 333 ah/945 ce,unknown
coin,Coin,958-1008 AD,artifact_dataset/images/coin/457133.jpg,457133,unknown,unknown,unknown,dated 374 ah/98384 ce,unknown
coin,Coin,755-815 AD,artifact_dataset/images/coin/457626.jpg,457626,unknown,unknown,unknown,dated 164 ah/780 ce,unknown
coin,Coin,1074-1124 AD,artifact_dataset/images/coin/457275.jpg,457275,unknown,unknown,unknown,dated 493 ah/1099 ce,unknown
coin,Coin,758-808 AD,artifact_dataset/images/coin/457209.jpg,457209,unknown,unknown,unknown,dated 166 ah/783 ce,unknown
coin,Girdle with Coins and Medallions,583-583 AD,artifact_dataset/images/coin/464030.jpg,464030,unknown,unknown,unknown,"ca. 583, reassembled after discovery",byzantine
coin,Pectoral with Coins and Pseudo-Medallion,539-550 AD,artifact_dataset/images/coin/464070.jpg,464070,unknown,unknown,unknown,ca. 53950,byzantine
coin,“Augustalis” of Frederick II Hohenstaufen (r. 1215–50),1230-1250 AD,artifact_dataset/images/coin/468737.jpg,468737,unknown,unknown,unknown,123050,italian
coin,Dinar of Tughril (r. 1040–63),1027-1077 AD,artifact_dataset/images/coin/457583.jpg,457583,unknown,unknown,unknown,dated 444 ah/105253 ce,unknown
coin,Coin,765-815 AD,artifact_dataset/images/coin/457468.jpg,457468,unknown,unknown,unknown,790,unknown
coin,Coin,932-1062 AD,artifact_dataset/images/coin/457388.jpg,457388,unknown,unknown,unknown,uncertain,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457414.jpg,457414,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457491.jpg,457491,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,800-1099 AD,artifact_dataset/images/coin/457678.jpg,457678,unknown,unknown,unknown,9th11th century,unknown
coin,Coin,1105-1155 AD,artifact_dataset/images/coin/457686.jpg,457686,unknown,unknown,unknown,ca. 1130,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457672.jpg,457672,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457680.jpg,457680,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,733-793 AD,artifact_dataset/images/coin/457681.jpg,457681,unknown,unknown,unknown,75868,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457685.jpg,457685,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,1275-1299 AD,artifact_dataset/images/coin/457699.jpg,457699,unknown,unknown,unknown,probably late 13th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457675.jpg,457675,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457670.jpg,457670,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,1000-1199 AD,artifact_dataset/images/coin/457676.jpg,457676,unknown,unknown,unknown,11th12th century,unknown
coin,Coin,733-793 AD,artifact_dataset/images/coin/457683.jpg,457683,unknown,unknown,unknown,probably 75868,unknown
coin,Coin,800-1099 AD,artifact_dataset/images/coin/457708.jpg,457708,unknown,unknown,unknown,9th11th century,unknown
coin,Coin,733-793 AD,artifact_dataset/images/coin/457703.jpg,457703,unknown,unknown,unknown,75868,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457455.jpg,457455,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457443.jpg,457443,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,794-1030 AD,artifact_dataset/images/coin/457469.jpg,457469,unknown,unknown,unknown,8191005,unknown
